ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2018;C0042BLAES;5200201001;1.913,00;1.913,00;1.913,00;1.913,00;1.913,00;1.913,00;1.913,00;1.999,00;1.999,00;1.999,00;1.999,00;1.999,00
2018;C0042BLAES;5200203001;106;106;106;106;106;106;106;111;111;111;111;111
2018;C0042BLAES;5200203002;39;39;39;39;39;39;39;41;41;41;41;41
2018;C0042BLAES;5200204001;159;159;159;159;159;159;159;167;167;167;167;167
2018;C0042BLAES;5200204002;59;59;59;59;59;59;59;61;61;61;61;61
2018;C0042BLAES;5200205001;551;551;551;551;551;551;551;576;576;576;576;576
2018;C0042BLAES;5200205002;153;153;153;153;153;153;153;160;160;160;160;160
2018;C0042BLAES;5200208001;764;764;764;764;764;764;764;764;764;764;764;764
2018;C0042BLAES;5200208003;6;6;6;6;6;6;6;6;6;6;6;6
2018;C0042BLAES;5200208004;580;580;580;580;580;580;580;580;580;580;580;580
2018;C0042BLAES;5200208009;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22
2018;C0042BLAES;5200501001;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00;3.200,00
2018;C0042BLAES;5200501003;0;0;14.600,00;0;0;0;0;0;0;0;0;0
2018;C0042BLAES;5200502001;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00;7.800,00
2018;C0042BLAES;5200502003;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00;13.940,00
2018;C0042BLAES;5200502004;350;350;350;350;350;350;350;350;350;350;350;350
2018;C0042BLAES;5200502007;0;6.000,00;0;0;0;6.000,00;0;0;0;6.000,00;0;0
2018;C0042BLAES;5200503002;0;1.200,00;0;0;0;1.200,00;0;0;0;1.200,00;0;0
2018;C0042BLAES;5200503004;500;6.250,00;500;500;500;500;6.250,00;500;500;6.250,00;500;500
2018;C0042BLAES;5200503005;650;650;650;650;650;650;650;650;650;650;650;650
2018;C0042BLAES;5200504002;5.000,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00;5.200,00
2018;C0042BLAES;5200504008;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00;5.000,00
2018;C0042BLAES;5200504010;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00;1.100,00
2018;C0042BLAES;5200504025;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00;8.000,00
2018;C0042BLCOB;5200201001;0;0;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00;7.761,00
2018;C0042BLCOB;5200202002;1.000,00;1.000,00;1.000,00;1.000,00;0;0;0;0;0;0;0;0
2018;C0042BLCOB;5200203001;0;0;431;431;431;431;431;431;431;431;431;431
2018;C0042BLCOB;5200203002;0;0;159;159;159;159;159;159;159;159;159;159
2018;C0042BLCOB;5200204001;0;0;647;647;647;647;647;647;647;647;647;647
2018;C0042BLCOB;5200204002;0;0;238;238;238;238;238;238;238;238;238;238
2018;C0042BLCOB;5200205001;0;0;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00;2.235,00
2018;C0042BLCOB;5200205002;0;0;621;621;621;621;621;621;621;621;621;621
2018;C0042BLCOB;5200208001;0;0;191;191;191;191;191;191;191;191;191;191
2018;C0042BLCOB;5200208003;0;0;24;24;24;24;24;24;24;24;24;24
2018;C0042BLCOB;5200208004;0;0;493;493;493;493;493;493;493;493;493;493
2018;C0042BLCOB;5200502003;80;80;190;150;110;110;110;110;110;110;110;110
2018;C0042BLCOB;5200504025;16.400,00;16.400,00;24.600,00;16.400,00;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200201001;20.018,00;20.018,00;20.018,00;20.018,00;20.018,00;20.018,00;20.018,00;20.919,00;20.919,00;20.919,00;20.919,00;20.919,00
2018;C0042BLJUR;5200203001;1.113,00;1.113,00;1.113,00;1.113,00;1.113,00;1.113,00;1.113,00;1.162,00;1.162,00;1.162,00;1.162,00;1.162,00
2018;C0042BLJUR;5200203002;409;409;409;409;409;409;409;428;428;428;428;428
2018;C0042BLJUR;5200204001;1.668,00;1.668,00;1.668,00;1.668,00;1.668,00;1.668,00;1.668,00;1.743,00;1.743,00;1.743,00;1.743,00;1.743,00
2018;C0042BLJUR;5200204002;614;614;614;614;614;614;614;642;642;642;642;642
2018;C0042BLJUR;5200205001;5.765,00;5.765,00;5.765,00;5.765,00;5.765,00;5.765,00;5.765,00;6.025,00;6.025,00;6.025,00;6.025,00;6.025,00
2018;C0042BLJUR;5200205002;1.601,00;1.601,00;1.601,00;1.601,00;1.601,00;1.601,00;1.601,00;1.673,00;1.673,00;1.673,00;1.673,00;1.673,00
2018;C0042BLJUR;5200208001;573;573;573;573;573;573;573;573;573;573;573;573
2018;C0042BLJUR;5200208003;60;60;60;60;60;60;60;64;64;64;64;64
2018;C0042BLJUR;5200208004;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00;1.160,00
2018;C0042BLJUR;5200208009;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22;143,22
2018;C0042BLJUR;5200502003;140;140;140;140;140;140;140;140;140;140;140;140
2018;C0042BLJUR;5200503001;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50;5.769,50
2018;C0042BLJUT;5200201001;4.780,00;4.780,00;4.780,00;4.780,00;4.780,00;4.780,00;4.780,00;4.995,00;4.995,00;4.995,00;4.995,00;4.995,00
2018;C0042BLJUT;5200203001;266;266;266;266;266;266;266;278;278;278;278;278
2018;C0042BLJUT;5200203002;98;98;98;98;98;98;98;102;102;102;102;102
2018;C0042BLJUT;5200204001;398;398;398;398;398;398;398;416;416;416;416;416
2018;C0042BLJUT;5200204002;147;147;147;147;147;147;147;153;153;153;153;153
2018;C0042BLJUT;5200205001;1.377,00;1.377,00;1.377,00;1.377,00;1.377,00;1.377,00;1.377,00;1.439,00;1.439,00;1.439,00;1.439,00;1.439,00
2018;C0042BLJUT;5200205002;382;382;382;382;382;382;382;400;400;400;400;400
2018;C0042BLJUT;5200208001;191;191;191;191;191;191;191;191;191;191;191;191
2018;C0042BLJUT;5200208003;15;15;15;15;15;15;15;15;15;15;15;15
2018;C0042BLJUT;5200208004;580;580;580;580;580;580;580;580;580;580;580;580
2018;C0042BLJUT;5200502003;120;120;120;120;120;120;120;120;120;120;120;120
2018;C0042BLMKT;5200201001;6.294,00;6.294,00;6.294,00;6.294,00;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200201003;0;0;0;6.294,00;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200203001;350;350;350;350;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200203002;129;129;129;129;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200204001;525;525;525;525;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200204002;193;193;193;193;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200205001;1.813,00;1.813,00;1.813,00;3.626,00;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200205002;504;504;504;1.007,00;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208001;191;191;191;191;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208003;19;19;19;19;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208004;580;580;580;580;0;0;0;0;0;0;0;0
2018;C0042BLPLM;5200201001;5.794,00;5.794,00;5.794,00;5.794,00;5.794,00;5.794,00;5.794,00;6.054,00;6.054,00;6.054,00;6.054,00;6.054,00
2018;C0042BLPLM;5200203001;322;322;322;322;322;322;322;336;336;336;336;336
2018;C0042BLPLM;5200203002;118;118;118;118;118;118;118;124;124;124;124;124
2018;C0042BLPLM;5200204001;483;483;483;483;483;483;483;505;505;505;505;505
2018;C0042BLPLM;5200204002;178;178;178;178;178;178;178;186;186;186;186;186
2018;C0042BLPLM;5200205001;1.669,00;1.669,00;1.669,00;1.669,00;1.669,00;1.669,00;1.669,00;1.744,00;1.744,00;1.744,00;1.744,00;1.744,00
2018;C0042BLPLM;5200205002;464;464;464;464;464;464;464;484;484;484;484;484
2018;C0042BLPLM;5200208001;191;191;191;191;191;191;191;191;191;191;191;191
2018;C0042BLPLM;5200208003;18;18;18;18;18;18;18;18;18;18;18;18
2018;C0042BLPLM;5200208004;580;580;580;580;580;580;580;580;580;580;580;580
2018;C0042BLPLM;5200502003;40;40;40;40;40;40;40;40;40;40;40;40
2018;C0042BLPLM;5200503001;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00;2.274,00
2018;C0042BLREP;5200201001;15.234,00;15.234,00;15.234,00;13.657,00;13.657,00;13.657,00;13.657,00;14.271,00;14.271,00;14.271,00;14.271,00;14.271,00
2018;C0042BLREP;5200201003;0;0;4.168,00;0;0;0;0;0;0;0;0;0
2018;C0042BLREP;5200202002;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00;3.000,00
2018;C0042BLREP;5200203001;847;847;847;759;759;759;759;792;792;792;792;792
2018;C0042BLREP;5200203002;311;311;311;279;279;279;279;291;291;291;291;291
2018;C0042BLREP;5200204001;1.269,00;1.269,00;1.269,00;1.138,00;1.138,00;1.138,00;1.138,00;1.190,00;1.190,00;1.190,00;1.190,00;1.190,00
2018;C0042BLREP;5200204002;467;467;467;418;418;418;418;438;438;438;438;438
2018;C0042BLREP;5200205001;4.388,00;4.388,00;5.588,00;3.933,00;3.933,00;3.933,00;3.933,00;4.111,00;4.111,00;4.111,00;4.111,00;4.111,00
