ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;C0042BLPLM;5200208004;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24;539,24
2023;C0042BLPLM;5200503001;0;0;1;0;0;1;0;0;1;0;0;1
2023;C0042BLREP;5200201001;13.953,00;13.953,00;13.953,00;13.953,00;13.953,00;13.953,00;13.953,00;14.930,00;14.930,00;14.930,00;14.930,00;14.930,00
2023;C0042BLREP;5200203001;775;775;775;775;775;775;775;829;829;829;829;829
2023;C0042BLREP;5200203002;274;274;274;274;274;274;274;293;293;293;293;293
2023;C0042BLREP;5200204001;1.162,00;1.162,00;1.162,00;1.162,00;1.162,00;1.162,00;1.162,00;1.244,00;1.244,00;1.244,00;1.244,00;1.244,00
2023;C0042BLREP;5200204002;410;410;410;410;410;410;410;439;439;439;439;439
2023;C0042BLREP;5200205001;3.809,00;3.809,00;3.809,00;3.809,00;3.809,00;3.809,00;3.809,00;4.076,00;4.076,00;4.076,00;4.076,00;4.076,00
2023;C0042BLREP;5200205002;1.116,00;1.116,00;1.116,00;1.116,00;1.116,00;1.116,00;1.116,00;1.194,00;1.194,00;1.194,00;1.194,00;1.194,00
2023;C0042BLREP;5200208001;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24
2023;C0042BLREP;5200208003;36;36;36;36;36;36;36;39;39;39;39;39
2023;C0042BLREP;5200208004;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72;1.617,72
2023;C0042BLREP;5200208009;121;121;121;121;121;121;121;121;121;121;121;121
2023;C0042BLREP;5200503001;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83;1.454,83
2023;C0042BLRHU;5200201001;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00;10.925,00
2023;C0042BLRHU;5200203001;607;607;607;607;607;607;607;607;607;607;607;607
2023;C0042BLRHU;5200203002;214;214;214;214;214;214;214;214;214;214;214;214
2023;C0042BLRHU;5200204001;910;910;910;910;910;910;910;910;910;910;910;910
2023;C0042BLRHU;5200204002;321;321;321;321;321;321;321;321;321;321;321;321
2023;C0042BLRHU;5200205001;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00;2.982,00
2023;C0042BLRHU;5200205002;874;874;874;874;874;874;874;874;874;874;874;874
2023;C0042BLRHU;5200208001;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24;2.310,24
2023;C0042BLRHU;5200208003;28;28;28;28;28;28;28;28;28;28;28;28
2023;C0042BLRHU;5200208004;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90;1.034,90
2023;C0042BLRHU;5200208006;5.000,00;0;0;0;0;0;0;0;0;0;0;0
2023;C0042BLRHU;5200208008;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00;1.500,00
