ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2022;C0003PEPVA;5200504002;189,31;174,55;422,1;145,33;300,4;196,98;20775,93;248,36;201,81;347,94;255,71;2004,59
2022;C0003PEPVA;5200504004;0;0;0;0;0;0;0;0;1670;0;0;985
2022;C0041PEPVA;5200503003;0;0;0;0;0;0;0;0;0;0;0;849,76
2022;C0041PEPVA;5200504002;0;0;0;0;0;0;0;0;0;0;0;1367,63
2022;C0041PEPVA;5200504004;0;0;0;0;0;0;0;0;0;0;0;424,88
2022;C0042ASSET;5200201001;42126,11;113226,81;-41998,85;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200202002;0;0;30000;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200203001;5247,42;5247,39;2722,23;-6500;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200203002;1852,32;1852,34;960,93;-2294,48;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200204001;3935,54;3935,53;2041,67;-4875;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200204002;1389,23;1389,23;720,72;-1720,87;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200205001;11500,52;12892,82;6552;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200205002;3370,11;3778,11;1920;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208001;572,05;572,05;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208003;124,55;124,55;64,65;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208004;1893,37;2002;1587,99;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200208012;-199,9;-199,9;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200503005;281,19;0;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200504002;0;1000;0;0;0;0;0;0;0;0;0;0
2022;C0042ASSET;5200504004;79926,77;0;0;0;0;0;0;0;0;0;0;11451,67
2022;C0042ASSET;5200504020;4700;4700;4700;4700;0;0;0;0;650;7150;0;0
2022;C0042ASSET;5200504030;87660,2;0;0;0;0;0;0;0;0;0;0;0
2022;C0042BLAES;5200201001;3416,37;5887,71;704,32;2679,21;2976,07;2977;2976,19;2976,12;3165,83;3076,62;3076,62;2461,87
2022;C0042BLAES;5200201002;667,94;0;1,29;0;2,91;7,1;358,11;6,53;0,22;0;0;0
2022;C0042BLAES;5200202002;500;0;0;0;0;0;0;0;0;0;0;0
2022;C0042BLAES;5200203001;509,35;366,24;366,38;330,71;331,04;331,49;370,52;331,43;399,04;341,88;341,86;337,09
2022;C0042BLAES;5200203002;179,8;129,29;129,33;116,73;116,86;117,01;130,8;116,99;140,86;120,68;120,68;-302,46
2022;C0042BLAES;5200204001;382,01;274,68;274,79;248,03;248,28;248,62;277,89;248,57;299,24;256,41;-897,4;1410,2
2022;C0042BLAES;5200204002;134,84;96,96;97;87,55;87,64;87,76;98,09;87,75;105,64;90,51;90,5;-548,26
2022;C0042BLAES;5200205001;1251,45;899,84;900,19;731,34;813,37;814,5;910,33;814,34;867,43;839,96;839,96;1348,52
2022;C0042BLAES;5200205002;366,72;263,69;263,79;214,3;238,34;238,68;266,76;238,63;246,14;246,14;246,14;196,91
2022;C0042BLAES;5200208001;1136,12;1136,12;1136,12;284,03;284,03;284,03;284,03;284,03;284,03;284,03;568,06;568,06
2022;C0042BLAES;5200208003;11;11;11;11;11;13,63;13,63;13,63;13,63;13,63;13,63;13,63
2022;C0042BLAES;5200208004;470,25;493,77;540,79;445,5;510,68;487,47;487,47;510,68;487,47;464,25;464,25;371,4
2022;C0042BLAES;5200208005;81,45;81,45;81,45;73,3;81,45;81,45;81,45;81,45;81,45;81,45;81,45;65,68
2022;C0042BLAES;5200208008;0;203,05;0;0;0;19,4;0;0;0;0;0;0
2022;C0042BLAES;5200208009;25,6;169,6;256;117,21;146,24;138,24;66,24;146,24;137,23;129,23;129,23;103,39
2022;C0042BLAES;5200501003;17016;0;0;0;0;0;0;0;0;0;0;5500
2022;C0042BLAES;5200502001;2630,46;3220,28;3161,74;3424,93;2863,48;2812,9;3081,14;2828,69;3175,89;3863,02;2708,32;2704,62
2022;C0042BLAES;5200502003;2528,75;1514,11;1974,32;2058,99;1999,45;2201,32;2009,34;2165,73;1985,77;1973,97;2004,95;1964,03
2022;C0042BLAES;5200502005;1158,69;0;0;0;0;0;0;0;0;0;0;0
2022;C0042BLAES;5200502007;0;560,98;0;0;0;0;187,46;0;0;0;0;0
2022;C0042BLAES;5200502009;0;0;0;0;0;0;194,1;0;0;0;0;0
