****** VALORESPREMISSAS **********
2014;VP0;a;SELL_PA_FL;ass_med;3;s;0;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;145,42000000000002;
2014;VP0;i;*;enc_prov_13;6;s;0;3,165;3,165;3,165;3,165;3,165;3,165;3,165;3,165;3,165;3,165;3,165;3,165;
2014;VP0;i;*;enc_prov_13;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;i;*;enc_prov_ferias;1;s;0;4,222;4,222;4,222;4,222;4,222;4,222;4,222;4,222;4,222;4,222;4,222;4,222;
2013;VP0;a;*;enc_prov_13;2;s;0;2,666;2,666;2,666;2,666;2,666;2,666;2,666;2,666;2,666;2,666;2,666;2,666;
2013;VP0;a;*;enc_prov_13;6;s;0;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;3,1660000000000003;
2015;VP0;a;*;ti_bi;*;s;2;0;3456;0;0;0;0;0;0;0;0;0;0;
2015;VP0;a;*;ti_micro;*;s;3;0;0;1260;0;0;0;0;0;0;0;0;0;
2015;VP0;a;*;ass_med;3;s;0;181;181;181;181;181;181;181;181;181;181;181;181;
2015;VP0;a;*;ti_xrt;*;s;4;0;0;0;3492;0;0;0;0;0;0;0;0;
2015;VP0;a;*;ass_med;1;s;0;181;181;181;181;181;181;181;181;181;181;181;181;
2015;VP0;a;*;ass_med;5;s;0;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;
2015;VP0;a;*;ass_med;7;s;0;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;
2015;VP0;a;*;ass_med;4;s;0;181;181;181;181;181;181;181;181;181;181;181;181;
2015;VP0;a;*;ass_med;6;s;0;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;791,97;
2015;VP0;a;*;seg_vida;*;s;0;0,323;0,323;0,323;0,323;0,323;0,323;0,323;0,323;0,323;0,323;0,323;0,323;
2015;VP0;a;*;cel_nextel;*;s;0;79,4;79,4;79,4;79,4;79,4;79,4;79,4;79,4;79,4;79,4;79,4;79,4;
2014;VP0;a;NORTE;dissidio;*;n;0;0;0;0;0;0;0;0;8,5;0;0;0;0;
2014;VP0;a;NORTE;mes_merito;*;n;0;0;0;0;0;0;0;0;1;0;0;0;0;
2014;VP0;a;CCP;almoco;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ass_med;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_analista;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_coord;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_dir;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_ger;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_modem3g;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;cel_nextel;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;dissidio;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;enc_prov_13;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;enc_prov_ferias;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;fgts;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;fgts;2;n;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;inss;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;prov_13;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;prov_ferias;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;seg_vida;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;tel_ramal;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_bi;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_comunicator;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_micro;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_project;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_pwsati;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_sap;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_viabil;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_visio;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;ti_xrt;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;vr;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
2014;VP0;a;CCP;vt_custo_func;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0;
