ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;NORTE;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE;ass_med;5;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE;ass_med;6;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE;ass_med;7;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE;ass_med;8;n;0;0;0;0;0;0;0;0;0;0;0;0
2023;NORTE;dissidio;*;s;7;0;0;0;0;0;0;0;0;0;0;0
2023;NORTE;vr;1;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;2;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;3;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;4;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;5;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;6;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE;vr;7;s;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;NORTE-BE;ass_med;1;s;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04;385,04
2023;NORTE-BE;ass_med;3;s;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63;384,63
2023;NORTE-BE;ass_med;4;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE-BE;ass_med;5;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
2023;NORTE-BE;ass_med;6;s;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71;1264,71
