;ano;versao;revisao;cod_empr;cod_premissa;tipo_clb;mes_custo;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
;2023;VP0;a;C0304;inss_empr;2;0;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
;2023;VP0;a;C0304;inss_empr;6;0;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
;2023;VP0;a;C0600;enc_prov_13_empr;1;0;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
;2023;VP0;a;C0600;enc_prov_13_empr;2;0;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
;2023;VP0;a;C0600;enc_prov_ferias_empr;1;0;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
;2023;VP0;a;C0600;enc_prov_ferias_empr;2;0;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001
;2023;VP0;a;C0600;inss_empr;1;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C0600;inss_empr;2;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C0600;inss_empr;6;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C2216;enc_prov_13_empr;1;0;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
;2023;VP0;a;C2216;enc_prov_13_empr;2;0;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
;2023;VP0;a;C2216;enc_prov_ferias_empr;1;0;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
;2023;VP0;a;C2216;enc_prov_ferias_empr;2;0;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001
;2023;VP0;a;C2216;inss_empr;1;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C2216;inss_empr;2;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C2216;inss_empr;5;0;20;20;20;20;20;20;20;20;20;20;20;20
;2023;VP0;a;C2216;inss_empr;6;0;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8;28,8
;2023;VP0;a;C2546;enc_prov_13_empr;1;0;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387;1,387
;2023;VP0;a;C2546;enc_prov_13_empr;2;0;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887;0,887
;2023;VP0;a;C2546;enc_prov_ferias_empr;1;0;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924;0,924
;2023;VP0;a;C2546;enc_prov_ferias_empr;2;0;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001;0,5910000000000001
;2023;VP0;a;C2546;inss_empr;1;0;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
;2023;VP0;a;C2546;inss_empr;2;0;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
;2023;VP0;a;C2546;inss_empr;6;0;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8;8,8
;2023;VP0;a;C3099;enc_prov_13_empr;1;0;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983;2,983
;2023;VP0;a;C3099;enc_prov_13_empr;2;0;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483;2,483
;2023;VP0;a;C3099;enc_prov_ferias_empr;1;0;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989;1,989
;2023;VP0;a;C3099;enc_prov_ferias_empr;2;0;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001;1,6560000000000001
;2023;VP0;a;C3099;inss_empr;1;0;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
;2023;VP0;a;C3099;inss_empr;2;0;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
;2023;VP0;a;C3099;inss_empr;5;0;20;20;20;20;20;20;20;20;20;20;20;20
;2023;VP0;a;C3099;inss_empr;6;0;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055;28,055
;2023;VP0;a;C3216;enc_prov_13_empr;1;0;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942;2,942
;2023;VP0;a;C3216;enc_prov_13_empr;2;0;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442;2,442
;2023;VP0;a;C3216;enc_prov_ferias_empr;1;0;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961;1,961
;2023;VP0;a;C3216;enc_prov_ferias_empr;2;0;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001;1,6280000000000001
;2023;VP0;a;C3216;inss_empr;1;0;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
;2023;VP0;a;C3216;inss_empr;2;0;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
;2023;VP0;a;C3216;inss_empr;5;0;20;20;20;20;20;20;20;20;20;20;20;20
;2023;VP0;a;C3216;inss_empr;6;0;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8;26,8
