ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2021;C0003PEPVA;5200503008;0;0;0;0;0;0;0;496,96;0;496,96;496,96;0
2021;C0003PEPVA;5200504002;0;0;0;420;0;245,03;217,64;235,74;284,06;112,6;349,58;212,32
2021;C0003PEPVA;5200504004;985;477,95;0;0;0;0;643,86;0;1420;0;745,44;0
2021;C0041PEPVA;5200207001;0;0;0;0;0;101,45;0;0;0;0;0;0
2021;C0041PEPVA;5200504002;0;0;0;0;597;420;0;0;0;0;0;0
2021;C0041PEPVA;5200504004;0;0;0;386,61;0;0;386,61;0;0;0;0;0
2021;C0042ASSET;5200201001;5999,2;6000,71;5999,44;6000,31;5999,49;6000,49;7600,78;21225,06;34306,16;35924,91;30885,58;20150,96
2021;C0042ASSET;5200201002;0;0;0;0;0;0;0;0;0;2,43;2690,4;0
2021;C0042ASSET;5200202002;0;2218318,63;-2218318,63;0;0;0;0;0;50000;0;2823,24;0
2021;C0042ASSET;5200203001;666,66;666,67;666,67;666,66;666,67;666,67;666,66;3366,54;6744,3;4016,38;4166,82;1358,38
2021;C0042ASSET;5200203002;235,32;235,35;235,33;235,32;235,35;235,33;235,32;1188,39;1288,54;1482,2;-2360,61;-3188
2021;C0042ASSET;5200204001;500;500;500;500;500;500;500;2516,6;3870,23;3010,14;-5167,18;10632,08
2021;C0042ASSET;5200204002;176,5;176,5;176,5;176,5;176,5;176,5;176,5;888,35;1366,18;1062,57;-408,16;-3540,7
2021;C0042ASSET;5200205001;1638;1638;1638;1638;1638;1638;1911;3601,79;6903,39;12876,38;12629,77;11764,88
2021;C0042ASSET;5200205002;480;480;480;480;480;480;560;1681,99;2708,51;2838,1;2418,11;1612,07
2021;C0042ASSET;5200207002;0;0;0;0;0;0;0;0;355;0;0;0
2021;C0042ASSET;5200208001;204,32;252,15;266,55;266,55;266,55;266,55;541,35;541,35;841,38;769,43;841,38;572,05
2021;C0042ASSET;5200208003;15,96;15,96;15,96;15,96;15,96;15,83;31,66;79,16;94,99;94,99;96,18;79,69
2021;C0042ASSET;5200208004;470,51;495,28;569,57;495,28;520,04;520,04;650,66;1403,12;1876,86;1976,97;1217,66;1051,05
2021;C0042ASSET;5200208012;0;0;0;0;0;0;0;0;0;-353,15;-199,9;-199,9
2021;C0042ASSET;5200209001;0;0;0;0;0;7000;0;0;0;0;0;0
2021;C0042ASSET;5200501003;0;1823,1;0;3250;0;500;0;0;0;0;0;0
2021;C0042ASSET;5200503001;0;0;0;0;0;0;0;0;2832,57;1583,94;15,45;0
2021;C0042ASSET;5200503005;0;0;0;0;0;0;0;0;0;0;0;759,22
2021;C0042ASSET;5200503008;0;0;0;0;10000;0;0;0;0;0;0;0
2021;C0042ASSET;5200504002;0;0;42500;0;0;81512;0;0;0;0;0;2200
2021;C0042ASSET;5200504004;0;8000;0;0;141000;104266,73;44700;95301,59;27665,78;20000;0;0
2021;C0042ASSET;5200504005;0;0;0;0;0;0;0;7376;0;0;0;0
2021;C0042ASSET;5200504018;0;0;0;0;0;5250;0;0;0;0;0;0
2021;C0042ASSET;5200504020;0;0;0;0;0;0;0;4700;4700;4700;4700;4700
2021;C0042ASSET;5200504024;0;102896,13;-102896,13;70156,45;70156,45;69856,44;69954,84;69954,84;70483,47;70182,71;71127,94;45498,63
2021;C0042ASSET;5200504025;0;0;0;0;0;4700;0;0;0;0;0;0
2021;C0042ASSET;5200504030;0;0;0;0;0;0;0;0;0;0;0;24822,75
2021;C0042ASSET;5200505002;0;22713,83;0;0;0;0;0;0;0;0;0;0
2021;C0042BLAES;5200201001;3001,14;3237,13;2763,4;3001,25;3000,5;3000,51;3000,22;3237,45;3554,71;3296,97;3295,66;1098,55
2021;C0042BLAES;5200201002;0;0;0;0;0;0;0;47,81;4,71;0;0;0
2021;C0042BLAES;5200203001;333,4;333,4;333,4;333,4;333,4;333,4;333,41;338,71;-6926,23;8336,17;366,24;366,24
2021;C0042BLAES;5200203002;117,69;117,69;117,69;117,69;117,69;117,69;117,7;119,56;-2444,95;2942,66;129,28;-1269,54
2021;C0042BLAES;5200204001;250,05;250,05;250,05;250,05;250,05;250,05;250,06;254,03;-2004,39;2751,18;-1373,4;1922,76
2021;C0042BLAES;5200204002;88,26;88,26;88,28;88,26;88,27;88,27;88,26;89,68;-707,54;971,16;96,95;-804,08
2021;C0042BLAES;5200205001;819,17;819,17;819,17;819,17;819,17;819,17;819,17;549,02;668,87;1212,77;1183,04;1625,85
2021;C0042BLAES;5200205002;240,04;240,04;240,04;240,04;240,04;240,04;240,04;243,87;263,69;263,69;263,69;87,89
2021;C0042BLAES;5200208001;987,99;1030,92;1066,2;1066,2;1066,2;1066,2;1001,37;1066,2;1066,2;1051,37;1066,2;1136,12
2021;C0042BLAES;5200208003;11,09;11,09;11,09;11,09;11,09;11;11;11;11;11;11;11
2021;C0042BLAES;5200208004;470,25;470,25;540,79;470,25;493,77;470,25;517,28;517,28;493,77;470,25;470,25;164,59
2021;C0042BLAES;5200208005;74,15;74,15;74,15;74,15;74,15;74,15;74,15;74,15;81,45;81,45;81,45;28,9
2021;C0042BLAES;5200208008;0;0;0;0;0;152,55;430,05;0;0;531,52;0;93,32
2021;C0042BLAES;5200208009;42,87;230,07;28,47;114,87;143,67;0;100,47;114,87;169,6;25,6;11,2;0
2021;C0042BLAES;5200208011;0;0;7,68;0;0;0;0;0;0;0;0;0
2021;C0042BLAES;5200501003;0;0;0;0;0;300;0;-300;0;0;0;0
2021;C0042BLAES;5200502001;3837,15;4070,79;3261,27;2086,97;2311,56;3118,79;3151,73;2914,3;3643,38;3662,09;3729,46;3951,59
2021;C0042BLAES;5200502003;4630;4705,87;4630;4630;18630;1130;4630;4630;4630;1130;4630;3321,38
2021;C0042BLAES;5200502005;0;0;0;0;0;0;0;0;0;140,23;1148,71;1018,09
2021;C0042BLAES;5200502009;0;0;0;0;182,35;0;0;0;0;0;0;0
2021;C0042BLAES;5200503002;1025,8;0;0;0;0;0;0;0;0;0;0;0
2021;C0042BLAES;5200503004;331,6;66;48;24;48;68;0;102;695,7;85;76,5;85
2021;C0042BLAES;5200503005;0;0;0;341,71;0;0;547,97;0;0;0;0;511,81
2021;C0042BLAES;5200503008;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674;1674
2021;C0042BLAES;5200504008;0;1070,89;989,97;1083,07;1012,08;1002,15;1049,89;982,72;1037,75;1252;0;0
2021;C0042BLAES;5200504010;301;0;800;800;800;800;1090;2867,12;800;0;1600;800
2021;C0042BLAES;5200504019;1900;1900;1900;1900;1900;1900;1900;1900;1900;0;3800;1900
2021;C0042BLAES;5200504025;24650,05;35127,09;22143,65;28691,78;15592,53;15695,52;15695,52;15808,03;15798,94;0;27252,56;15609,02
2021;C0042BLAES;5300202002;79,14;64,55;59,63;55,91;35,7;49,37;0;0;49,46;0;0;60,77
2021;C0042BLCOB;5200504025;7891,24;7891,24;8587,46;14248,04;8210,94;8239,35;8239,35;8267,76;8267,76;0;16450,28;8210,94
2021;C0042BLJUR;5200201001;6886,52;7810,66;7337,57;7574,6;7574;7574,74;7574,24;7811,16;9067,02;8319,6;4160,4;5547
2021;C0042BLJUR;5200201002;122,25;0;0;0;0;0;0;0;0;0;0;0
2021;C0042BLJUR;5200203001;778,68;1531,54;841,58;841,6;841,6;841,59;841,6;841,6;-13571,84;16748,63;924,49;924,49
2021;C0042BLJUR;5200203002;274,87;540,64;297,08;297,08;297,09;297,08;297,08;297,09;-4790,85;5912,26;-1202,68;-693,01
2021;C0042BLJUR;5200204001;584,01;689,59;631,2;631,2;631,19;631,2;631,2;631,19;-5060,78;6946;-3466,84;4853,58
2021;C0042BLJUR;5200204002;206,15;243,42;222,82;222,81;222,81;222,82;222,8;222,82;-1786,45;2451,93;244,75;-2030,07
2021;C0042BLJUR;5200205001;1913,25;2067,84;2067,84;2067,84;2067,84;2067,85;2067,84;1315,87;1723,25;3023,5;2652,28;4298,92
2021;C0042BLJUR;5200205002;560,64;605,94;605,94;605,94;605,94;605,94;605,94;605,94;665,63;665,63;332,81;443,75
2021;C0042BLJUR;5200208001;781,59;824,37;824,37;723,51;792,36;824,37;824,37;824,37;824,37;824,37;824,37;833,25
2021;C0042BLJUR;5200208003;18,32;20,15;20,15;20,15;20,15;19,99;19,99;19,99;21,96;21,96;21,96;21,96
2021;C0042BLJUR;5200208004;470,25;470,25;540,79;470,25;493,77;470,25;517,28;517,28;493,77;470,25;211,62;305,67
2021;C0042BLJUR;5200208005;74,15;74,15;74,15;74,15;74,15;74,15;74,15;74,15;81,45;81,45;40,72;55,17
2021;C0042BLJUR;5200503001;0;0;0;0;0;0;0;0;0;2714,26;48,35;0
