c.custo;classe custo;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
C0042SPINA;5200504025;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5200504030;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5200505002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5200505004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5200901001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5300202001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINA;5300202002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200201001;11.786,00;11.786,00;11.786,00;11.786,00;12.257,00;12.257,00;12.257,00;12.257,00;12.257,00;12.257,00;12.257,00;12.257,00
C0042SPINB;5200201002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200201003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200202001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200202002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200203001;654,00;654,00;654,00;654,00;681,00;681,00;681,00;681,00;681,00;681,00;681,00;681,00
C0042SPINB;5200203002;241,00;241,00;241,00;241,00;250,00;250,00;250,00;250,00;250,00;250,00;250,00;250,00
C0042SPINB;5200204001;982,00;982,00;982,00;982,00;1.021,00;1.021,00;1.021,00;1.021,00;1.021,00;1.021,00;1.021,00;1.021,00
C0042SPINB;5200204002;362,00;362,00;362,00;362,00;376,00;376,00;376,00;376,00;376,00;376,00;376,00;376,00
C0042SPINB;5200205001;3.395,00;3.395,00;3.395,00;3.395,00;3.530,00;3.530,00;3.530,00;3.530,00;3.530,00;3.530,00;3.530,00;3.530,00
C0042SPINB;5200205002;943,00;943,00;943,00;943,00;980,00;980,00;980,00;980,00;980,00;980,00;980,00;980,00
C0042SPINB;5200206003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200206050;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200207001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200207002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208001;600,00;600,00;600,00;600,00;600,00;600,00;600,00;600,00;600,00;600,00;600,00;600,00
C0042SPINB;5200208002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208003;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00;26,00
C0042SPINB;5200208004;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19;1.502,19
C0042SPINB;5200208005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208006;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208007;1.600,00;1.600,00;1.600,00;1.600,00;1.664,00;1.664,00;1.664,00;1.664,00;1.664,00;1.664,00;1.664,00;1.664,00
C0042SPINB;5200208008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208011;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208012;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200208013;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200209001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200209002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200410004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200501001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200501002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200501003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502003;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502005;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502007;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200502009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503002;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503003;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;50,00;10.000,00
C0042SPINB;5200503004;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503005;400,00;400,00;400,00;400,00;400,00;400,00;400,00;400,00;400,00;400,00;400,00;400,00
C0042SPINB;5200503006;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503007;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
C0042SPINB;5200503009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
