ano;centroCusto;classeCusto;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2018;C0042BLCOB;5200208005;0;66;66;41,8;66;66;0;66;0;0;4;0
2018;C0042BLCOB;5200208008;39,9;39,9;39,9;0;39,9;0;79,8;39,9;79,8;0;39,9;0
2018;C0042BLCOB;5200208012;-39,9;-39,9;-39,9;-39,9;-39,9;-39,9;-39,9;-39,9;-39,9;-39,9;0;0
2018;C0042BLCOB;5200208013;0;36000;0;0;0;0;0;0;0;0;0;0
2018;C0042BLCOB;5200502004;0;0;0;0;0;0;0;0;0;137,76;0;0
2018;C0042BLCOB;5200503001;0;0;0;0;120,9;0;0;0;0;238,02;153,68;-391,7
2018;C0042BLCOB;5200503003;0;0;0;0;0;0;0;0;540;0;0;0
2018;C0042BLCOB;5200503005;0;357,36;0;68,23;337,77;0;0;0;0;0;0;0
2018;C0042BLCOB;5200504025;8133,18;8163,31;0;0;0;0;0;5053,63;6426,75;4625,06;7202,47;4661,81
2018;C0042BLJUR;5200201001;16318,74;20018,31;20017,9;36945,84;6172,59;8530,21;8530,71;8530,46;6674,79;5440,22;5440,92;4613,62
2018;C0042BLJUR;5200201002;0;0;0;0;0;0;0;0;933,06;0;0;0
2018;C0042BLJUR;5200201003;0;0;0;0;0;0;0;0;221,16;0;0;0
2018;C0042BLJUR;5200203001;2224,22;2224,22;2224,24;2224,22;947,77;947,79;947,77;947,77;708,13;604,44;604,44;626,66
2018;C0042BLJUR;5200203002;1179,71;785,16;785,14;785,17;334,56;334,56;334,56;334,58;-2089,61;213,38;213,36;-516,2
2018;C0042BLJUR;5200204001;1668,17;1668,17;1668,17;1668,17;710,83;710,84;710,83;710,83;531,09;453,33;-1360;2300
2018;C0042BLJUR;5200204002;588,85;588,86;588,87;588,87;250,9;250,94;250,93;250,91;-353,37;160,03;160,01;-827,38
2018;C0042BLJUR;5200205001;5801,54;5464,93;5464,93;10086,28;1685,19;2328,72;2328,72;2328,73;2699,95;1485,17;1485,15;2765,72
2018;C0042BLJUR;5200205002;1305,51;1601,44;1601,44;2955,68;493,81;682,4;682,4;682,4;-150,77;435,2;435,2;351,36
2018;C0042BLJUR;5200207001;0;0;0;5569,59;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200208001;508,68;569,88;731,24;715,24;565,95;565,95;565,95;565,95;534,85;375,99;375,99;682,42
2018;C0042BLJUR;5200208003;60,85;60,85;60,85;60,85;26,44;26,44;26,44;26,44;26,44;18,44;18,44;18,54
2018;C0042BLJUR;5200208004;752,41;846,46;987,54;987,54;799,44;1410,75;1551,84;1528,33;1006,97;990,56;900,5;675,38
2018;C0042BLJUR;5200208005;132;132;132;132;132;198;132;198;66;66;86;58,33
2018;C0042BLJUR;5200208007;0;0;0;0;510;900;900;900;900;900;2870;1200
2018;C0042BLJUR;5200208009;225,32;303,9;359,7;384,9;470,7;497,1;549,9;401,4;245,04;145,2;132;99
2018;C0042BLJUR;5200208013;0;0;0;22800;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200502003;0;0;0;0;0;0;0;0;0;0;340,5;0
2018;C0042BLJUR;5200502004;0;0;85,5;0;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200503001;1039,2;3117,91;8845,76;22257,68;27470,4;25805,93;4394,83;5508,62;3341,99;2536,16;800,1;1239,52
2018;C0042BLJUR;5200503003;0;0;0;230;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200503005;4316,12;2643,24;117;5269,97;5328,16;0;53,65;80,95;50,09;0;0;188
2018;C0042BLJUR;5200503008;0;0;0;984,95;0;0;0;0;0;0;0;0
2018;C0042BLJUR;5200504019;0;0;0;0;6500;0;0;0;0;0;0;0
2018;C0042BLJUT;5200201001;4142,62;4780,39;4780,14;4780,14;2071,4;0;0;0;0;0;0;0
2018;C0042BLJUT;5200201002;0;0;0;0;409;0;0;0;0;0;0;0
2018;C0042BLJUT;5200201003;0;0;0;0;178,22;0;0;0;0;0;0;0
2018;C0042BLJUT;5200203001;531,14;531,14;531,14;531,13;-178,22;0;0;0;0;0;0;0
2018;C0042BLJUT;5200203002;255,48;187,49;187,5;187,49;-2249,89;0;0;0;0;0;0;0
2018;C0042BLJUT;5200204001;398,35;398,36;398,35;398,35;34,08;0;0;0;0;0;0;0
2018;C0042BLJUT;5200204002;140,6;140,63;140,62;140,62;-367,18;0;0;0;0;0;0;0
2018;C0042BLJUT;5200205001;1363,02;1305;1305;1305;1180,87;0;0;0;0;0;0;0
2018;C0042BLJUT;5200205002;331,42;382,41;382,41;382,41;133,33;0;0;0;0;0;0;0
2018;C0042BLJUT;5200208001;0;0;0;185,13;185,13;0;0;0;0;0;0;0
2018;C0042BLJUT;5200208003;0;0;0;14,53;14,53;0;0;0;0;0;0;0
2018;C0042BLJUT;5200208004;-4,75;-4,5;-5,25;399,72;174,02;0;0;0;0;0;0;0
2018;C0042BLJUT;5200208005;66;66;66;66;0;0;0;0;0;0;0;0
2018;C0042BLJUT;5200208011;-56,96;-56,96;-56,96;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200201001;1678,71;3566,99;1403,76;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200201003;0;0;349,75;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200203001;699,39;699,36;-0,05;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200203002;-2336,26;537,94;-2715,9;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200204001;524,54;524,53;0;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200204002;185,15;185,16;-202,46;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200205001;1623,7;1966,98;746,48;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200205002;218,21;285,34;28,44;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208001;569,88;569,88;569,88;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208003;19,13;19,13;19,13;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208004;423,23;258,64;99,02;0;0;0;0;0;0;0;0;0
2018;C0042BLMKT;5200208005;30,8;66;0;0;0;0;0;0;0;0;0;0
2018;C0042BLPLL;5200502004;5016,02;-13476,76;4825,53;7817,08;9094,61;5252,81;3883,64;4486,52;2951,8;4954,77;3117,31;3296,01
2018;C0042BLPLL;5200503002;0;0;6000;0;0;0;0;0;0;0;0;0
2018;C0042BLPLL;5200503003;0;0;0;0;0;0;1050;0;0;0;0;2804,88
2018;C0042BLPLL;5200503004;0;1226,34;-88,7;0;-1137,64;0;0;0;0;0;0;0
2018;C0042BLPLL;5200503005;11434,25;-12866,85;16105,45;5966,37;11339,6;36180,41;7923,04;45758,48;37355,11;31811,61;32009,73;26683,3
2018;C0042BLPLL;5200504002;-7764,96;26105,98;53479,69;2047,34;-16726,33;1243,26;1395,95;2470,05;1419,48;-455,12;1534,01;155,5
2018;C0042BLPLL;5200504008;-8000;0;0;0;0;0;0;0;0;0;0;0
2018;C0042BLPLL;5200504012;0;0;0;560;0;0;0;0;0;0;0;0
2018;C0042BLPLL;5300202002;0;0;0;0;0;107;0;0;0;0;0;1015,92
2018;C0042BLPLM;5200201001;5172,12;5967,51;5967,26;5968,26;5967,3;5968,05;5967,55;5967,3;5967,8;3978,32;5967,25;5952,31
2018;C0042BLPLM;5200203001;663,05;663,07;663,06;663,06;663,06;663,07;663,05;663,07;663,07;663,06;663,07;1070,17
2018;C0042BLPLM;5200203002;318,92;234,07;234,06;234,06;234,06;234,06;234,06;234,06;234,06;-1426,24;234,07;-498,8
2018;C0042BLPLM;5200204001;497,3;497,29;497,3;497,3;497,29;497,3;497,3;497,29;497,3;497,3;-2486,49;3696,61
2018;C0042BLPLM;5200204002;175,54;175,54;175,55;175,54;175,54;175,56;175,54;175,54;175,55;175,55;175,54;-1436,35
2018;C0042BLPLM;5200205001;1701,56;1629,15;1629,15;1629,15;1629,15;1629,15;1629,15;1629,15;1629,15;1677,55;1629,15;4339,64
2018;C0042BLPLM;5200205002;413,75;477,4;477,4;477,4;477,4;477,4;477,4;477,4;477,4;318,26;477,4;395,71
2018;C0042BLPLM;5200208001;189,96;189,96;189,96;189,96;189,96;189,96;189,96;189,96;190,86;190,86;190,86;229,61
2018;C0042BLPLM;5200208003;17,61;17,61;17,61;17,61;11,12;11,12;11,12;11,12;11,12;11,12;11,12;11,52
2018;C0042BLPLM;5200208004;446,74;423,23;493,77;493,77;493,77;470,25;517,28;493,77;427,74;315,18;450,25;337,69
2018;C0042BLPLM;5200208005;66;66;66;66;66;66;66;66;66;46,2;80,8;58,33
2018;C0042BLPLM;5200503001;1114,67;1167,35;5400,37;2048,94;2396,54;2961,08;841,79;0;34,9;0;0;0
2018;C0042BLPLM;5200503005;0;0;145,15;0;163,15;0;0;0;0;0;0;0
2018;C0042BLREP;5200201001;11326,54;13246,76;15038,81;11002,36;10700,51;13982,98;13294,15;13562,01;12886,36;14193,08;13539,21;14251,4
2018;C0042BLREP;5200201002;0;0;115,88;0;0;0;0;0;0;0;0;0
2018;C0042BLREP;5200201003;0;0;369,34;0;0;0;0;0;0;0;0;0
2018;C0042BLREP;5200202002;0;0;0;1200;0;2750;0;1400;0;3400;0;2800
2018;C0042BLREP;5200203001;1764,67;1752,87;2310,51;1515,8;1189,16;6178,24;1477,08;1662,56;1884,49;1954,65;1504,27;2626,24
2018;C0042BLREP;5200203002;-1020,4;-642,19;-2141,54;535,08;419,77;2180,91;521,42;586,89;-202,69;690;531,01;-2715,23
2018;C0042BLREP;5200204001;1301,51;1301,49;1094,9;1046,86;891,87;2474,05;1107,82;1246,92;1291,13;1466,01;-5640,93;8616,37
2018;C0042BLREP;5200204002;459,4;459,42;96,31;369,53;314,84;873,33;391,05;440,16;455,77;517,52;398,21;-3476,79
2018;C0042BLREP;5200205001;4586,42;4282,38;5019,72;3331,25;2921,69;4291,5;3629,19;4084,88;3827,46;4802,59;3695,91;10968,98
2018;C0042BLREP;5200205002;906,12;1059,73;1091,08;976,18;856,18;1338,49;1063,49;1197,03;1031;1407,34;1083,05;1191,4
2018;C0042BLREP;5200208001;989,32;1012,32;1202,28;565,05;535,65;917,57;898,28;919,37;936,57;948,57;869,48;1039,19
2018;C0042BLREP;5200208003;46,88;46,88;59,04;32,38;24;32;32;32;32;32;32;32
2018;C0042BLREP;5200208004;1528,32;1434,28;1558,06;1481,31;1457,79;1833,98;2069,12;2069,12;1530,86;1981,12;1801;1305,74
2018;C0042BLREP;5200208005;220;226,6;198;198;198;264;264;264;264;264;328;223,99
2018;C0042BLREP;5200208009;199,47;181,52;236,86;90,2;0;0;0;0;0;0;0;0
2018;C0042BLREP;5200208013;0;0;22800;0;0;0;0;0;0;0;0;0
2018;C0042BLREP;5200503005;0;0;0;129,54;123,84;0;0;0;0;0;0;0
2018;C0042BLREP;5200504025;9692,64;7076,69;10813,32;11373,87;13369,49;14808,73;15513,38;3830,63;7290,28;0;557,7;1126,58
2018;C0042BLRHU;5200208006;0;0;2920;0;9062,5;350;0;0;0;0;800;0
2018;C0042BLRHU;5200208008;0;0;1744,95;0;0;0;742;0;0;75;0;0
2018;C0042BLRHU;5200410004;0;0;0;0;491,4;0;0;0;0;0;0;0
2018;C0042BLRHU;5200503001;0;0;0;0;0;0;2792,38;0;34,9;0;0;0
